Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
IPIC,iPic Entertainment Inc.,8.19,$91.52M,2018.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ipic,
CLRG,IQ Chaikin U.S. Large Cap ETF,25.14,$318.02M,,,,https://www.nasdaq.com/symbol/clrg,
CSML,IQ Chaikin U.S. Small Cap ETF,27.32,$468.54M,,,,https://www.nasdaq.com/symbol/csml,
IQ,"iQIYI, Inc.",16.17,$11.44B,2018.0,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/iq,
IRMD,iRadimed Corporation,18.25,$194.02M,2014.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irmd,
IRTC,"iRhythm Technologies, Inc.",66.85,$1.58B,2016.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irtc,
IRIX,IRIDEX Corporation,6.2,$72.18M,1996.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/irix,
IRDM,Iridium Communications Inc,11.6,$1.28B,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdm,
IRDMB,Iridium Communications Inc,431.0,$215.5M,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdmb,
IRBT,iRobot Corporation,60.02,$1.69B,2005.0,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/irbt,
IRWD,"Ironwood Pharmaceuticals, Inc.",18.59,$2.82B,2010.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/irwd,
IRCP,IRSA Propiedades Comerciales S.A.,41.51,$1.31B,,Consumer Services,Building operators,https://www.nasdaq.com/symbol/ircp,
PMPT,iSectors Post-MPT Growth ETF,26.29,$13.15M,,,,https://www.nasdaq.com/symbol/pmpt,
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,49.55,$800.23M,,,,https://www.nasdaq.com/symbol/slqd,
CSJ,iShares 1-3 Year Credit Bond ETF,103.59,$10.77B,,,,https://www.nasdaq.com/symbol/csj,
ISHG,iShares 1-3 Year International Treasury Bond ETF,84.19,$88.4M,,,,https://www.nasdaq.com/symbol/ishg,
SHY,iShares 1-3 Year Treasury Bond ETF,83.19,$12.6B,,,,https://www.nasdaq.com/symbol/shy,
TLT,iShares 20+ Year Treasury Bond ETF,118.99,$7.78B,,,,https://www.nasdaq.com/symbol/tlt,
IEI,iShares 3-7 Year Treasury Bond ETF,119.44,$7.25B,,,,https://www.nasdaq.com/symbol/iei,
IEF,iShares 7-10 Year Treasury Bond ETF,101.64,$8.76B,,,,https://www.nasdaq.com/symbol/ief,
AIA,iShares Asia 50 ETF,66.68,$1.07B,,,,https://www.nasdaq.com/symbol/aia,
COMT,iShares Commodities Select Strategy ETF,38.66,$637.89M,,,,https://www.nasdaq.com/symbol/comt,
ISTB,iShares Core 1-5 Year USD Bond ETF,48.98,$1.9B,,,,https://www.nasdaq.com/symbol/istb,
IXUS,iShares Core MSCI Total International Stock ETF,63.35,$9.95B,,,,https://www.nasdaq.com/symbol/ixus,
IUSG,iShares Core S&P U.S. Growth ETF,55.57,$3.84B,,,,https://www.nasdaq.com/symbol/iusg,
IUSV,iShares Core S&P U.S. Value ETF,53.12,$3.54B,,,,https://www.nasdaq.com/symbol/iusv,
IUSB,iShares Core Total USD Bond Market ETF,49.23,$2.15B,,,,https://www.nasdaq.com/symbol/iusb,
HEWG,iShares Currency Hedged MSCI Germany ETF,28.89,$650.03M,,,,https://www.nasdaq.com/symbol/hewg,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,24.5142,$29.42M,,,,https://www.nasdaq.com/symbol/susb,
SUSC,iShares ESG USD Corporate Bond ETF,24.2,$13.31M,,,,https://www.nasdaq.com/symbol/susc,
XT,iShares Exponential Technologies ETF,36.18,$2.22B,,,,https://www.nasdaq.com/symbol/xt,
FALN,iShares Fallen Angels USD Bond ETF,26.35,$57.97M,,,,https://www.nasdaq.com/symbol/faln,
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,41.22,$43.28M,,,,https://www.nasdaq.com/symbol/ifeu,
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,30.1,$529.76M,,,,https://www.nasdaq.com/symbol/ifgl,
IGF,iShares Global Infrastructure ETF,43.99,$2.6B,,,,https://www.nasdaq.com/symbol/igf,
GNMA,iShares GNMA Bond ETF,48.16,$113.18M,,,,https://www.nasdaq.com/symbol/gnma,
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,50.05,$10.01M,,,,https://www.nasdaq.com/symbol/hyxe,
CIU,iShares Intermediate Credit Bond ETF,106.17,$6.93B,,,,https://www.nasdaq.com/symbol/ciu,
IGOV,iShares International Treasury Bond ETF,49.97,$1.06B,,,,https://www.nasdaq.com/symbol/igov,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,108.63,$11.26B,,,,https://www.nasdaq.com/symbol/emb,
MBB,iShares MBS ETF,103.65,$12.1B,,,,https://www.nasdaq.com/symbol/mbb,
JKI,iShares Morningstar Mid-Cap ETF,156.86,$415.68M,,,,https://www.nasdaq.com/symbol/jki,
ACWX,iShares MSCI ACWI ex US Index Fund,49.93,$3.3B,,,,https://www.nasdaq.com/symbol/acwx,
ACWI,iShares MSCI ACWI Index Fund,72.22,$8.44B,,,,https://www.nasdaq.com/symbol/acwi,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,75.89,$4.78B,,,,https://www.nasdaq.com/symbol/aaxj,
EWZS,iShares MSCI Brazil Small-Cap ETF,15.95,$70.18M,,,,https://www.nasdaq.com/symbol/ewzs,
MCHI,iShares MSCI China ETF,67.2,$3.56B,,,,https://www.nasdaq.com/symbol/mchi,
ESGD,iShares MSCI EAFE ESG Optimized ETF,68.53,$233M,,,,https://www.nasdaq.com/symbol/esgd,
SCZ,iShares MSCI EAFE Small-Cap ETF,65.97,$11.1B,,,,https://www.nasdaq.com/symbol/scz,
ESGE,iShares MSCI EM ESG Optimized ETF,72.52,$311.84M,,,,https://www.nasdaq.com/symbol/esge,
EEMA,iShares MSCI Emerging Markets Asia Index Fund,73.1832,$585.47M,,,,https://www.nasdaq.com/symbol/eema,
EMXC,iShares MSCI Emerging Markets ex China ETF,53.1279,$10.63M,,,,https://www.nasdaq.com/symbol/emxc,
EUFN,iShares MSCI Europe Financials Sector Index Fund,23.25,$2.31B,,,,https://www.nasdaq.com/symbol/eufn,
IEUS,iShares MSCI Europe Small-Cap ETF,59.21,$263.48M,,,,https://www.nasdaq.com/symbol/ieus,
RING,iShares MSCI Global Gold Miners ETF,18.21,$303.2M,,,,https://www.nasdaq.com/symbol/ring,
MPCT,iShares MSCI Global Impact ETF,58.75,$35.25M,,,,https://www.nasdaq.com/symbol/mpct,
ENZL,iShares MSCI New Zealand ETF,48.61,$140.97M,,,,https://www.nasdaq.com/symbol/enzl,
QAT,iShares MSCI Qatar ETF,16.6219,$51.53M,,,,https://www.nasdaq.com/symbol/qat,
TUR,iShares MSCI Turkey ETF,35.62,$256.46M,,,,https://www.nasdaq.com/symbol/tur,
