0,1,2,3,4,outcome,date,last_market_date,symbol
4.147569323459399,4.153399325003416,4.138361447638875,4.127295662361787,4.105778939847764,-1,2017-08-18,2017-08-11,SCG
3.8394523125933104,3.8495091000389037,3.8400972658565573,3.8044377947482086,3.799078246412012,-1,2017-08-18,2017-08-11,BWA
3.2371085931292605,3.2311995745570328,3.2311995745570328,3.2100368762009963,3.212455257065278,-1,2017-08-18,2017-08-11,PHM
5.334842141230409,5.329961371882498,5.330203555410359,5.328992050815955,5.327779076697656,-1,2017-08-18,2017-08-11,MMM
4.828073708497692,4.826391891739602,4.837788707664819,4.8218126509599415,4.814295945534097,-1,2017-08-18,2017-08-11,CME
5.827326660747656,5.810062567373411,5.812965674537693,5.776568144381849,5.788154259875543,-1,2017-08-18,2017-08-11,CMG
2.663052835171474,2.65605490598383,2.6511270537025893,2.615934912194404,2.5974910105351463,-1,2017-08-18,2017-08-11,NWSA
4.6491870714048655,4.651385609785055,4.651481088851342,4.6210435351443815,4.636475035816504,-1,2017-08-18,2017-08-11,SWKS
4.932817886382919,4.931447776199235,4.942998645380444,4.933394213752808,4.930075786237839,-1,2017-08-18,2017-08-11,AON
4.336113577659475,4.339771321776768,4.34575157880917,4.325191697921343,4.324000197151533,-1,2017-08-18,2017-08-11,DG
4.610456190417329,4.615714399863762,4.642176911617187,4.621928969803046,4.6016640466588035,-1,2017-08-18,2017-08-11,EL
2.6993457604720636,2.698673039289613,2.6864860231863696,2.6602595372658615,2.644044871126298,-1,2017-08-18,2017-08-11,RF
3.8104331496665127,3.8205653949393112,3.8210036070409776,3.805995600782616,3.8019849002192085,-1,2017-08-18,2017-08-11,COP
4.8647613782733465,4.908085639080461,4.923987487370583,4.907198852146794,4.897989042545024,-1,2017-08-18,2017-08-11,PXD
4.393213824064446,4.390490713086011,4.396792086874355,4.366786085257597,4.3651347670036635,-1,2017-08-18,2017-08-11,TEL
3.4346321577483927,3.4173987610001633,3.421979920844684,3.4028626609812167,3.403860499081639,-1,2017-08-18,2017-08-11,WMB
3.792563565390818,3.788951007838152,3.7864597824528,3.7773481021015445,3.7736800558064014,-1,2017-08-18,2017-08-11,APC
4.380901001386372,4.378896741664954,4.386143150185721,4.377265317572172,4.3694478524670215,-1,2017-08-18,2017-08-11,CINF
4.250065437218876,4.237289838207198,4.234686046775173,4.230476736546681,4.231349083214389,-1,2017-08-18,2017-08-11,K
4.303659605599776,4.308649164869106,4.300545392805998,4.27332721775054,4.268297869345539,-1,2017-08-18,2017-08-11,LNC
5.250229455740982,5.257391199935391,5.261912684654237,5.2455493010093805,5.244019563140188,-1,2017-08-18,2017-08-11,ANTM
3.460723360976182,3.4553698605505483,3.453789831781326,3.4339872044851463,3.4490347110763153,-1,2017-08-18,2017-08-11,CSCO
5.272845700574368,5.271357184965254,5.27499756122642,5.271408549990819,5.276327348656421,-1,2017-08-18,2017-08-11,STZ
4.59390699370938,4.585681509404229,4.581901559048737,4.563827222453709,4.5884308619837935,-1,2017-08-18,2017-08-11,RHT
4.858260813670253,4.856317933711899,4.868687631440574,4.86514698734765,4.853435526076081,-1,2017-08-18,2017-08-11,TRV
3.0032042883926917,2.9831534913471307,2.9831534913471307,2.9647574692545606,2.9481164196123277,-1,2017-08-18,2017-08-11,KMI
3.0184717605234805,3.018960399673198,3.0204248861443626,3.0184717605234805,2.995232148512309,-1,2017-08-18,2017-08-11,KIM
4.821007108786528,4.822697998516666,4.82116826914143,4.800983649630345,4.819313355105002,-1,2017-08-18,2017-08-11,PVH
4.3678009274099,4.350148895775859,4.418599614904722,4.397776944765114,4.4073288175361,-1,2017-08-18,2017-08-11,DXC
4.018722624087202,3.998567606828332,3.984157603187345,3.9716117968398037,3.9736823858148735,-1,2017-08-18,2017-08-11,SBUX
4.956742131750921,4.94847616218787,4.944068049824143,4.929425238670713,4.9355524879719,-1,2017-08-18,2017-08-11,SWK
3.591542221224979,3.5984075509498608,3.602231647388264,3.5745903077118086,3.5726264972896864,-1,2017-08-18,2017-08-11,PWR
3.8922283780999667,3.8907993689765195,3.8817699622571253,3.872033997211783,3.8803259186848913,-1,2017-08-18,2017-08-11,BF.B
4.040416220196545,4.0439280763080845,4.034594557816327,4.027670428954108,4.03512520256213,-1,2017-08-18,2017-08-11,DVA
4.095011006765261,4.089499510558901,4.090001812787964,4.063713518668578,4.0683427596831,-1,2017-08-18,2017-08-11,DISH
3.9178062501838733,3.906004933102583,3.9104217240611723,3.9035875266070446,3.9043939782636548,-1,2017-08-18,2017-08-11,CHD
4.265773677849632,4.269277781231888,4.276943858220729,4.254761283628006,4.257454983420831,-1,2017-08-18,2017-08-11,ABBV
3.563882963939251,3.566429294357372,3.5633162311385904,3.551913599040779,3.5533460588187404,-1,2017-08-18,2017-08-11,GM
2.869601996409779,2.869601996409779,2.8701690505786455,2.840247370713596,2.8507065015037334,-1,2017-08-18,2017-08-11,HPE
4.3556826593342794,4.35619587463936,4.354655437877749,4.354398467556408,4.348857573282368,-1,2017-08-18,2017-08-11,D
6.899995247670674,6.897543313905721,6.889601491602005,6.863719793392381,6.875221756644704,-1,2017-08-18,2017-08-11,AMZN
4.9924713234685845,4.98257869631373,4.985317486111966,4.976871663943447,4.973971309724664,-1,2017-08-18,2017-08-11,APD
4.078553876315777,4.0239220979255546,4.018542848805819,4.002594703612533,3.9970991777832654,-1,2017-08-18,2017-08-11,EXPD
6.152945438030085,6.1520516117559305,6.161397177089122,6.131400387405499,6.145450927724578,-1,2017-08-18,2017-08-11,REGN
